kind	path	current authority or consumer	0.105 hard-cut disposition	owning batch
production	crates/canic-core/src/storage/stable/auth/sessions.rs	Linear lookup, mutation, capacity, replay binding and full-vector cleanup	Replace with canonical records plus exact indexes and bounded 128-entry cleanup	B3
production	crates/canic-core/src/storage/stable/auth/mod.rs	Auth stable cell, capacities and record operations	Retain cell ID/key; hard-cut members and restore derived indexes synchronously	B3
production	crates/canic-core/src/ops/storage/auth/mod.rs	Stable/model conversion and auth state API	Own conversions and exact state operations; policy never constructs records	B3
production	crates/canic-core/src/config/schema/component_spec/mod.rs	Per-role issuer/verifier/cache booleans	Add optional local_application_authorization table under role auth	B2/B4
production	crates/canic-core/src/config/schema/mod.rs	Global delegated-token trust and TTL configuration	Retain proof verifier configuration; do not reuse global token TTL as session TTL	B2/B4
production	crates/canic-core/src/config/validation/auth.rs	Global auth validation	Validate protected local role capability through topology-aware validation	B4
production	crates/canic-core/src/config/topology/mod.rs	Hashes role auth configuration into deployment identity	Bind local capability, scopes and TTLs into canonical role identity	B4
production	crates/canic-core/src/bootstrap/mod.rs	Validates/materializes auth build configuration	Propagate current protected local authorization configuration	B4
production	crates/canic-core/src/bootstrap/render.rs	Renders compiled auth and per-role capability state	Render scopes/TTLs once; no env enablement	B4
production	crates/canic-core/src/ops/config/mod.rs	Runtime compiled-config access	Return one protected local authority snapshot input	B4
production	crates/canic/src/macros/build.rs	Emits role capability cfgs	Emit one cfg for local application authorization only on admitted managed roles	B4
production	crates/canic/src/build_support/cfg_catalog.rs	Canonical generated cfg catalogue	Add exact local capability cfg and no aliases	B4
production	crates/canic/src/macros/endpoints/role.rs	Cfg-pruned managed command/status Candid and dispatch	Add nested ApplicationSession command/status variants; infrastructure roles remain pruned	B4
production	crates/canic/src/macros/endpoints/root.rs	Root issuer policy, renewal and proof role variants	Retain issuer/grant authority; add no application-session variant to Root	B2/B4
production	crates/canic/src/access/mod.rs	Facade re-export of core access types and helpers	Re-export the single model-backed local authorization facade and types	B5
production	crates/canic/src/api/mod.rs	Facade re-export of AuthApi	Remove subject-only session API exposure; retain token/root workflow helpers	B3/B4
production	crates/canic/src/prelude/mod.rs	Convenience re-export of DelegatedToken	Expose only the presenter-bearing current token; do not prelude-export session authority	B2
production	crates/canic-core/src/role_contract/catalog.rs	Role capability catalogue	Declare local authorization capability for managed application roles only	B4
production	crates/canic-core/src/role_contract/model.rs	Role capability/protocol model	Bind exact command/status variant presence	B4
production	crates/canic-core/src/role_contract/policy.rs	Role capability admission policy	Reject Root, Coordinator, Store, runtime-only and verifier-only misuse	B4
production	crates/canic-core/src/role_contract/profile.rs	Canonical profile digest inputs	Include exact local authorization capability identity	B4
production	crates/canic-host/src/canic_metadata/mod.rs	Host projection of package/config metadata	Carry protected capability metadata without token/session secrets	B4/B6
production	crates/canic-host/src/release_set/config/mod.rs	Release-set config loading and projection	Validate exact current local authorization config on one release set	B4
production	crates/canic-host/src/release_set/config/projection/details.rs	Detailed role config projection	Expose non-secret declared capability/scopes/TTL policy for inspection	B4/B6
production	crates/canic-core/src/ops/runtime/metrics/auth/sessions.rs	Subject-only session creation/fallback/prune metrics	Replace with bounded aggregate establishment/clear/denial/capacity metrics; no identities or scopes	B6
production	crates/canic-core/src/ops/runtime/metrics/delegated_auth.rs	Proof verification metrics	Retain proof lane metrics; do not duplicate session policy decisions	B6
test	canisters/test/delegation_root_stub/src/lib.rs	Custom subject-only session bootstrap/clear/status test endpoints	Remove old methods when B3/B4 role variants exist; retain proof/root fixtures only	B3/B4
test	canisters/test/delegation_issuer_stub/src/lib.rs	Custom subject-only clear/status plus token issuer/verifier probes	Remove old methods; retain exact prepare/retrieve/verify qualification	B3/B4
test	canisters/test/runtime_probe/src/lib.rs	Access/session behavior fixture	Hard-cut to current local decision and role protocol	B4/B5
test	crates/canic-testing-internal/src/pic/delegation.rs	PocketIC issuer, verifier, session and grant helpers	Propagate presenter, canonical scopes and new role variants without old helpers	B2-B7
test	crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs	Shared/fresh active issuer-verifier Fleet fixture	Retain fresh exclusive HTTP-gateway path for native-agent qualification	B1/B7
test	crates/canic-tests/tests/native_agent_delegation.rs	PEM-backed native prepare/retrieve/present journey	Retain as B1 acquisition proof; extend to target-local establishment only in B7	B1/B7
test	crates/canic-tests/tests/instruction_audit_support/execution.rs	Prepare and verifier instruction scenarios	Add cold/warm establishment and local authorization/denial measurements	B6
test	crates/canic-tests/tests/instruction_audit_support/scenarios.rs	Fixed instruction scenario roster	Version the method when 0.105 E/A/D scenarios are added	B6
test	crates/canic-macros/src/endpoint/expand/tests.rs	Generated authenticated guard tests	Hard-cut presenter and common projection expectations	B5
test	crates/canic-macros/src/endpoint/parse/tests.rs	Authenticated annotation parse tests	Add exact scope grammar acceptance/rejection	B2/B5
test	crates/canic-macros/src/endpoint/validate/tests.rs	Authenticated annotation validation tests	Reject noncanonical application scopes	B2/B5
test	crates/canic-host/src/release_set/tests/roles/capabilities.rs	Role capability validation fixtures	Prove admitted managed roles and rejected infrastructure combinations	B4
test	crates/canic-host/src/release_set/tests/roles/catalog.rs	Generated role catalogue fixtures	Prove exact variant/profile propagation	B4
test	crates/canic-cli/src/build.rs	Configured build propagation	Build enabled/disabled exact role artifacts	B4/B6
test	crates/canic-cli/src/scaffold/mod.rs	Generated canic.toml examples	Teach current protected local authorization table only	B4
